"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"3380","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",25000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3381","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",26000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3382","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",28000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3383","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",29000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3384","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",30000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3385","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",31000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3386","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",34000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3387","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",36000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3388","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",63000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3389","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",89,0,0,0,0,0,0,0,0,0
"3390","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",150,0,0,0,0,0,0,0,0,0
"3391","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",190,0,0,0,0,0,0,0,0,0
"3392","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",200,1,6.4760072758752,5.36737999637846,0,16.9958787601177,291.954123076915,241.933917003305,0,766.135887042095
"3393","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",210,1,6.4760072758752,5.36737999637846,0,16.9958787601177,291.954123076915,241.933917003305,0,766.135887042095
"3394","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",250,1,6.4760072758752,5.36737999637846,0,16.9958787601177,291.954123076915,241.933917003305,0,766.135887042095
"3395","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",310,1,6.4760072758752,5.36737999637846,0,16.9958787601177,291.954123076915,241.933917003305,0,766.135887042095
"3396","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",340,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3397","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",360,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3398","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",420,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3399","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",470,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3400","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",580,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3401","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",590,2,13.3697539161916,8.09711985163174,0,29.2398172038941,602.740950415059,364.965211194479,0,1318.05961996629
"3402","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",600,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3403","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",660,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3404","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",790,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3405","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",800,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3406","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",830,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3407","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",860,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3408","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1100,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3409","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1200,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3410","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1300,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3411","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1400,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3412","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1500,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3413","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",1700,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3414","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",2000,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3415","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",2700,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3416","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",3100,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3417","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",3700,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3418","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",4000,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3419","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",4500,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3420","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",4700,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
"3421","Basin","ZONE 2","Total_Kjeldahl_Nitrogen_Total_as_N",4800,3,20.2635005565079,8.86193554208569,2.89442606070452,37.6325750523113,913.527777753203,399.394993388241,130.727975106638,1696.32758039977
