"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"2234","Combined","All Basins","TN",0.74,29,17.7992888169322,3.94696219630532,10.0633850638327,25.5351925700318,53241.6117445576,11513.942851709,30674.6984351556,75808.5250539597
"2235","Combined","All Basins","TN",0.744,30,19.0713946711127,4.03970455776477,11.1537192297114,26.9890701125139,57046.7618650402,11768.1199910407,33981.6705168547,80111.8532132257
"2236","Combined","All Basins","TN",0.746,31,19.1752065497813,4.039041934611,11.2588298258968,27.0915832736658,57357.2861671848,11766.3358528561,34295.6916655845,80418.8806687852
"2237","Combined","All Basins","TN",0.754,32,20.4473124039617,4.00557470181383,12.5965302510219,28.2980945569016,61162.4362876674,11627.2174046873,38373.508934063,83951.3636412718
"2238","Combined","All Basins","TN",0.77,33,21.2561466904995,3.98898821020826,13.4378734637364,29.0744199172625,63581.8386296622,11574.8531069804,40895.5434136391,86268.1338456853
"2239","Combined","All Basins","TN",0.774,35,22.613267877644,3.99738049571451,14.7785460735407,30.4479896817473,67641.2884245061,11585.5157122141,44934.0948862435,90348.4819627686
"2240","Combined","All Basins","TN",0.794,37,25.0034129446983,4.22290302129808,16.7266751127487,33.2801507766479,74790.7412471502,12215.5958650694,50848.6133019178,98732.8691923826
"2241","Combined","All Basins","TN",0.804,39,25.3933391814695,4.22407001040284,17.1143140929042,33.6723642700348,75957.0969100485,12222.1004485244,52002.2202155099,99911.9736045871
"2242","Combined","All Basins","TN",0.814,40,25.4114329547596,4.22415076266782,17.1322495946633,33.6906163148559,76011.2193900202,12222.1277729537,52056.2891405842,99966.1496394562
"2243","Combined","All Basins","TN",0.824,42,26.5241651505823,4.35158706435124,17.9952112288635,35.0531190723012,79339.6476297656,12565.4156138348,54711.8855758722,103967.409683659
"2244","Combined","All Basins","TN",0.827,43,26.6279586870955,4.35103126356272,18.1000941149047,35.1558232592862,79650.1170664641,12563.6809528514,55025.7548856235,104274.479247305
"2245","Combined","All Basins","TN",0.83,44,26.7317705657641,4.35027348713441,18.2053912080812,35.258149923447,79960.6413686088,12561.3205573516,55340.9054779371,104580.377259281
"2246","Combined","All Basins","TN",0.834,47,26.8003955570595,4.35093967220721,18.2727105006268,35.3280806134921,80165.9139039387,12561.183916423,55546.4458245658,104785.381983312
"2247","Combined","All Basins","TN",0.844,49,28.0000953492846,4.38554760543367,19.4045799901488,36.5956107084205,83754.4814700156,12677.0836959134,58907.8539970254,108601.108943006
"2248","Combined","All Basins","TN",0.854,50,28.3719278127658,4.37532372104861,19.7964508988067,36.9474047267248,84866.7146529422,12652.7506418422,60067.7790895655,109665.650216319
"2249","Combined","All Basins","TN",0.855,51,29.1909312415584,4.39310641112376,20.5806008955038,37.801261587613,87316.5351498015,12709.7636194314,62405.8562036985,112227.214095904
"2250","Combined","All Basins","TN",0.873,52,29.2947431202271,4.39217225618975,20.6862436841991,37.903242556255,87627.0594519461,12706.8616518232,62722.0682578396,112532.050646053
"2251","Combined","All Basins","TN",0.884,54,30.916411234124,4.42465601389375,22.2442448029137,39.5885776653343,92477.827647611,12807.9982532742,67374.6123571418,117581.04293808
"2252","Combined","All Basins","TN",0.964,55,32.0038778209441,4.51148861321248,23.161522622385,40.8462330195031,95730.6808596773,13010.192836133,70231.1714689356,121230.190250419
"2253","Combined","All Basins","TN",1.004,56,33.0361836461029,4.57126066158864,24.0766773854444,41.9956899067614,98818.5360268157,13074.522331162,73192.9431426735,124444.128910958
"2254","Combined","All Basins","TN",1.005,58,33.8619407886133,4.54253741984151,24.9587310472985,42.7651505299282,101288.558375968,12982.5306342183,75843.265904712,126733.850847224
"2255","Combined","All Basins","TN",1.006,59,34.6707750751511,4.54367689972989,25.7653319942939,43.5762181560083,103707.960717963,12985.225256139,78257.3868847903,129158.534551135
"2256","Combined","All Basins","TN",1.05,60,34.6876039347432,4.54389895668585,25.7817256302498,43.5934822392366,103758.299561145,12985.2783776482,78307.6216117274,129208.977510562
"2257","Combined","All Basins","TN",1.054,61,36.8050358636784,4.76835895686075,27.4592240428723,46.1508476844844,110092.007037628,13412.6556494717,83803.6850276262,136380.329047631
"2258","Combined","All Basins","TN",1.105,62,36.8218647232705,4.76856543544888,27.4756482118681,46.1680812346729,110142.34588081,13412.6456614615,83854.0434469485,136430.648314672
"2259","Combined","All Basins","TN",1.106,64,37.6666549079872,4.74840366318087,28.3599547440947,46.9733550718798,112669.300271118,13354.4934412059,86494.9740945781,138843.626447658
"2260","Combined","All Basins","TN",1.204,66,40.5929211234602,4.99464115444802,30.8036043450405,50.3822379018799,121422.410089597,13918.3161746685,94143.0116618053,148701.808517388
"2261","Combined","All Basins","TN",1.21,67,40.6097499830523,4.99485175242197,30.8200204401885,50.3994795259161,121472.748932779,13918.2625658685,94193.4555763046,148752.042289253
"2262","Combined","All Basins","TN",1.3,68,40.626672839025,4.99507442617322,30.8365068636284,50.4168388144216,121523.368939936,13918.199826394,94244.1985505723,148802.5393293
"2263","Combined","All Basins","TN",1.304,70,45.2957079764078,4.90559560055735,35.6809172765973,54.9104986762183,135489.486269846,14108.9765123713,107836.400446877,163142.572092816
"2264","Combined","All Basins","TN",1.306,71,46.1045422629455,4.85318335859144,36.5924776697372,55.6166068561539,137908.888611841,13940.3004751219,110586.401746936,165231.375476747
